time,x,y,z
547.8500000000495,-486042.7864939095,446440.3660715644,3231368.205488168
547.9000000000494,-482069.1800689186,445231.56163742475,3215372.100347529
547.9500000000494,-478075.12717920257,443998.7732763766,3199274.843511832
548.0000000000493,-474044.6867129353,442723.2474268222,3182950.9802482673
548.0500000000493,-470009.03380460467,441430.3202941289,3166591.4661279256
548.1000000000492,-466050.50281809707,440194.1592047866,3150735.428585748
548.1500000000492,-462090.17911353987,438937.25555099524,3134834.924818655
548.2000000000492,-458107.3431699588,437636.1569096191,3118731.520092992
548.2500000000491,-454136.11935670086,436319.74682592344,3102639.70057398
548.3000000000491,-450196.4737683997,435004.0308366821,3086680.145712481
548.350000000049,-446305.0164356258,433702.23099411366,3070952.46029211
548.400000000049,-442465.9443187012,432415.8486755763,3055472.3346795654
548.4500000000489,-438686.4527453517,431149.46768152347,3040276.8756529866
548.5000000000489,-434971.77967126406,429905.9576952568,3025390.5612631673
548.5500000000488,-431354.1921192773,428715.239431607,3011027.3792620595
548.6000000000488,-427791.5616493819,427533.43817110924,2996883.024772577
548.6500000000487,-424301.7702307795,426376.2871379972,2983071.759379822
548.7000000000487,-420893.72163027286,425250.90612352896,2969646.5621101926
548.7500000000487,-417569.23815419694,424157.4933176138,2956611.4985157684
548.8000000000486,-414326.01173735986,423092.0583125524,2943941.5441701757
548.8500000000486,-411160.0264030435,422048.9521283545,2931599.865545556
548.9000000000485,-408071.83754991245,421027.20346485067,2919582.215461332
548.9500000000485,-405065.95036152913,420030.03731828654,2907913.1308531133
549.0000000000484,-402148.48191249714,419062.4619899737,2896629.319462793
549.0500000000484,-399327.0628657035,418131.23899931635,2885779.228533985
549.1000000000483,-396828.19103845995,417473.5742222611,2876999.01886008
549.1500000000483,-394265.8167106452,416684.1688246332,2867492.5983646
549.2000000000482,-391768.43685700855,415895.6725681729,2858180.9517255193
549.2500000000482,-389407.10221373814,415182.33489451965,2849576.5991460383
549.3000000000482,-387146.2018765472,414505.36099581775,2841414.9500940386
549.3500000000481,-384987.1864671373,413865.4344714555,2833702.1128944117
549.4000000000481,-382933.3816932729,413265.338252123,2826458.4848933774
549.450000000048,-380983.28576579544,412702.7131129624,2819669.201509472
549.500000000048,-379056.55587456684,412089.48763372813,2812734.428644089
549.5500000000479,-377295.7823943892,411579.57511769724,2806706.7217755066
549.6000000000479,-375667.4908966149,411136.4152493905,2801336.4159322544
549.6500000000478,-374171.1751123128,410759.06735456525,2796617.8941974035
549.7000000000478,-372815.371059533,410456.44644637965,2792613.1005194136
549.7500000000477,-371594.79415982857,410222.38308319193,2789281.1083833384
549.8000000000477,-370500.0398395318,410046.02609653777,2786549.684641733
549.8500000000477,-369520.31463536085,409914.9150843587,2784335.84648903
549.9000000000476,-368646.5202337659,409818.3686550787,2782568.9743839893
549.9500000000476,-367864.975060983,409740.4179066968,2781143.114765939
550.0000000000475,-367197.4052214842,409704.63231020124,2780220.323245014
550.0500000000475,-366686.13856194535,409757.7753967492,2780119.853451922
550.1000000000474,-366244.2345272283,409802.1963198585,2780181.289199303
550.1500000000474,-365880.4084834105,409846.86079481186,2780468.104318614
550.2000000000473,-365616.57836572995,409915.6594697644,2781144.7092508506
550.2500000000473,-365474.5120869733,410032.42784902063,2782375.044967588
550.3000000000472,-365471.21690812835,410215.7240405446,2784287.3292959095
550.3500000000472,-365606.52953932504,410464.8867914307,2786879.388081748
550.4000000000472,-365861.8841870888,410758.6694509543,2790009.114356747
550.4500000000471,-366211.49999959226,411067.746697378,2793479.397568928
550.5000000000471,-366628.88738723466,411362.0734331131,2797087.8343447084
550.550000000047,-367093.88555234834,411618.8234315876,2800680.5281063765
550.600000000047,-367600.759633385,411831.47685536364,2804213.9276842657
550.6500000000469,-368149.65915722586,412000.18921607494,2807689.5417250665
550.7000000000469,-368748.9344382894,412134.37557453796,2811171.614998797
550.7500000000468,-369412.8088745491,412250.0394928021,2814769.1923777736
550.8000000000468,-370158.4244829194,412366.4206796752,2818613.4687711797
550.8500000000467,-371000.0410216667,412499.48545990564,2822813.4999781027
550.9000000000467,-371946.2724797941,412658.8712892747,2827435.2477303306
550.9500000000467,-372998.34373932634,412846.01552305685,2832488.550373801
551.0000000000466,-374206.99101105984,413116.9850570023,2838358.7575257556
551.0500000000466,-375539.1194207523,413434.8247120424,2844793.9866834744
551.1000000000465,-376883.3756361163,413677.1721315099,2850952.248680206
551.1500000000465,-378268.9458838343,413877.1497490583,2857058.921961119
551.2000000000464,-379698.76747289323,414039.04809788545,2863140.4681016468
551.2500000000464,-381170.02977335395,414160.9932514429,2869180.2226592614
551.3000000000463,-382678.76900645,414240.01490372146,2875153.2617692933
551.3500000000463,-384235.5365664692,414288.9755891315,2881143.9986416325
551.4000000000462,-385802.3281106477,414268.4737808837,2886872.9437328116
551.4500000000462,-387532.09722644027,414343.8998455123,2893488.492159753
551.5000000000462,-389297.0875365904,414379.1078695163,2900037.88740174
551.5500000000461,-391131.93384287955,414412.44112771854,2906784.4044823186
551.6000000000461,-393052.61325866776,414461.9978353134,2913850.694011687
551.650000000046,-395065.9084928623,414535.9769202542,2921290.4456014163
551.700000000046,-397172.61190731224,414636.2385880715,2929112.8842326757
551.7500000000459,-399369.36833335337,414760.36811082624,2937296.9166514366
551.8000000000459,-401653.6314228637,414906.9188718648,2945827.9508850304
551.8500000000458,-404091.37208661105,415144.94184496783,2955192.945425658
551.9000000000458,-406551.18012057454,415340.05607880035,2964433.189492843
551.9500000000457,-409063.5111812316,415525.6400577817,2973779.442548787
552.0000000000457,-411622.18719703256,415697.4605153025,2983194.494543117
552.0500000000457,-414218.1497982314,415848.5902311915,2992621.044611352
552.1000000000456,-416848.5517291736,415978.55300803337,3002047.445277763
552.1500000000456,-419516.8821847139,416093.2535940001,3011507.833481423
552.2000000000455,-422231.13036880275,416202.95849710354,3021068.1844155304
552.2500000000455,-425003.49649640534,416321.9854151112,3030824.1020711
552.3000000000454,-427847.42034365464,416465.47644446313,3040878.572687413
552.3500000000454,-430784.09043531906,416655.76830343966,3051388.301524653
552.4000000000453,-433793.3541871724,416874.84483221796,3062215.8928098506
552.4500000000453,-436883.92635527375,417132.89487017714,3073429.6486103362
552.5000000000452,-440052.55199677084,417428.57063252106,3085013.3818143504
552.5500000000452,-443288.4069779347,417753.5087176971,3096898.659202432
552.6000000000452,-446580.35688878025,418099.3453591329,3109016.2188051837
552.6500000000451,-449915.1640099147,418456.05048519524,3121283.5225440054
552.7000000000451,-453298.0155983656,418830.94849963323,3133746.8643279406
552.750000000045,-456740.031773476,419236.6744397612,3146493.006553445
552.800000000045,-460160.30659808806,419601.3548267396,3158975.084310409
552.8500000000449,-463580.0747815488,419947.833056082,3171353.6255354593
552.9000000000449,-467012.64892577357,420291.32200420304,3183733.0574982557
552.9500000000448,-470444.7312050895,420622.9339476781,3196035.74502906
553.0000000000448,-473928.51583634387,420992.2500716493,3208628.6494350936
553.0500000000447,-477438.1106881112,421378.7868715702,3221347.1750750276
553.1000000000447,-480974.7817108715,421786.43755086383,3234211.948755839
553.1500000000447,-484517.31644148944,422199.294436967,3247092.3903564564
553.2000000000446,-488057.16326406435,422613.05254782573,3259945.09928826
553.2500000000446,-491588.1822289554,423025.6517232234,3272743.5674468097
553.3000000000445,-495101.836074884,423433.11510438734,3285445.998590249
553.3500000000445,-498591.2205312915,423833.06607423874,3298022.305868578
553.4000000000444,-502051.082887226,424224.63231616176,3310453.821031579
553.4500000000444,-505473.2460336696,424604.5852293061,3322703.083560946
553.5000000000443,-508858.225781104,424976.92018435936,3334789.631614556
553.5500000000443,-512201.1686053762,425341.3403750289,3346698.439939974
553.6000000000442,-515497.8019988883,425698.07473727973,3358418.565560791
553.6500000000442,-518743.1696265963,426046.8475811735,3369934.9072792837
553.7000000000442,-521886.0226000172,426349.6303333304,3380932.785744416
553.7500000000441,-524900.1422284103,426589.56303601316,3391262.7650273456
553.8000000000441,-527781.1736924996,426767.8056440142,3400917.6349381963
553.850000000044,-530536.7824077157,426895.14383252535,3409967.1088876636
553.900000000044,-533194.7764073274,426998.23152807564,3418608.817577624
553.9500000000439,-535789.2147287074,427108.17054984585,3427078.011810161
554.0000000000439,-538355.4570349733,427256.53830561345,3435615.8868220565
554.0500000000438,-540921.2631853236,427468.4123215792,3444413.288023075
554.1000000000438,-543502.0386934319,427758.79703432077,3453581.3893358186
554.1500000000437,-546127.0053686997,428153.4049806034,3463318.9053984312
554.2000000000437,-548572.8035807011,428480.43931626587,3472225.4975860133
554.2500000000437,-550774.1666638667,428693.30645501433,3479909.698327649
554.3000000000436,-552797.4517219267,428847.9485196784,3486811.430335118
554.3500000000436,-554681.0124698676,428977.9379753934,3493190.171464554
554.4000000000435,-556344.4841045262,429024.60112645576,3498555.844314266
554.4500000000435,-557812.3488443291,429010.50270663056,3503079.00942755
554.5000000000434,-559101.7049650362,428952.06677738193,3506881.5536082494
554.5500000000434,-560229.7712954879,428865.4067023597,3510084.1438991437
554.6000000000433,-561216.016980395,428767.9666663802,3512819.698673899
554.6500000000433,-562083.323176674,428679.41806295916,3515240.764210007
554.7000000000432,-562836.9187170778,428605.6408810598,3517388.0514737265
554.7500000000432,-563468.7755602367,428542.1529137223,3519218.3766606366
554.8000000000432,-563962.5441477852,428477.9794546134,3520635.921393905
554.8500000000431,-564296.0947623085,428397.5616464177,3521508.012399485
554.9000000000431,-564453.0491696321,428289.47824856587,3521736.9049198707
554.950000000043,-564399.3238600595,428128.5496490679,3521113.0214187354
555.000000000043,-564122.0353434354,427905.37642028456,3519557.6566491807
555.0500000000429,-563744.3913447297,427713.42209702905,3517839.5203164155
555.1000000000429,-563037.481093969,427379.2006825434,3514530.4845911697
555.1500000000428,-562588.8345598949,427347.6371450699,3513295.132163044
555.2000000000428,-561535.611728553,426962.71367485786,3508742.875334858
555.2500000000427,-560258.7677698516,426511.33394215803,3503244.944858523
555.3000000000427,-558754.4030467588,425988.0741962013,3496766.862341606
555.3500000000427,-556563.676847,425040.1023358463,3486423.3798173848
555.4000000000426,-554527.6128613892,424305.2009435019,3477462.836478296
555.4500000000426,-552277.1818026102,423499.69496830273,3467561.0330418167
555.5000000000425,-550005.0402022455,422768.5009194839,3457913.746546014
555.5500000000425,-547328.0740316792,421814.0546532374,3446097.7597618294
555.6000000000424,-544407.5076169812,420755.4568835069,3433105.93598925
