time,x,y,z,Rx,Ry,Rz
0.0,-9.0,0.0,-8.0,0.0,0.0,0.0
0.05,-8.9996942618073,0.00029138935037844346,-8.000597226230479,-3.707397910758349e-08,-1.0197305547047766e-05,-1.0474287129031596e-06
0.1,-8.999203073835282,0.0008657402250336636,-8.001876881948943,-8.231315296434055e-08,-3.05733618676349e-05,-3.1075734644430546e-06
0.15000000000000002,-8.998765632730255,0.0017147153390313402,-8.003765021174834,-1.482680298971068e-07,-6.056300186883552e-05,-6.155484224829183e-06
0.2,-8.998648395047454,0.0028291047396982703,-8.00618207461369,-2.557941780702739e-07,-9.95801777989634e-05,-1.0164070800713023e-05
0.25,-8.999085999548143,0.004198318950275353,-8.009058317897411,-4.257904391296764e-07,-0.00014709928226450345,-1.5080081235148585e-05
0.3,-9.000234912829285,0.00581183967847872,-8.01234242696439,-6.836908112128589e-07,-0.0002027296138029888,-2.0875059563292452e-05
0.35,-9.00214620328444,0.007692664076945371,-8.016006296714318,-9.634705462565526e-07,-0.0002662583700706623,-2.7581387189763337e-05
0.39999999999999997,-9.004762139043528,0.009824731214932768,-8.020047254495731,-1.2807486738909528e-06,-0.00033766408287893115,-3.505729834578387e-05
0.44999999999999996,-9.007934337410482,0.012196543925723589,-8.024484224448127,-1.6623457630453193e-06,-0.0004170734084979224,-4.3267767427788964e-05
0.49999999999999994,-9.011460452291843,0.014796884799282317,-8.029349798895927,-2.1348177790274634e-06,-0.0005047021688783514,-5.218546263959319e-05
0.5499999999999999,-9.015129399370494,0.017614136822563905,-8.034680663299667,-2.725035276029751e-06,-0.0006007751962568732,-6.178170418450626e-05
0.6,-9.01876551183706,0.02063618770578109,-8.040508107938315,-3.4605729432394064e-06,-0.0007054470316634698,-7.202659310839599e-05
0.65,-9.02226237734154,0.023812602187531673,-8.046851317103252,-4.471619814980075e-06,-0.000818740813987677,-8.281685164451592e-05
0.7000000000000001,-9.025600181423023,0.027129258806507392,-8.053711888264829,-5.788967854847902e-06,-0.0009405143396484319,-9.411377688408775e-05
0.7500000000000001,-9.02884361047537,0.030570228354816698,-8.061074676582678,-7.4436113969322195e-06,-0.0010704621022656251,-0.00010586270488816036
0.8000000000000002,-9.03212242006984,0.034118465002176135,-8.068911645708381,-9.467936285447979e-06,-0.0012081496783642681,-0.00011800259607312967
0.8500000000000002,-9.035599568874837,0.037756170489588514,-8.077188496442373,-1.1894887324782735e-05,-0.0013530703977357452,-0.00013046779735732656
0.9000000000000002,-9.039434452928653,0.041465012559547626,-8.085872573859497,-1.4757746578151905e-05,-0.001504711981649944,-0.0001431895979264233
0.9500000000000003,-9.043749188135955,0.045226750079133536,-8.094940284604922,-1.8090111696006348e-05,-0.0016626190658514041,-0.00015610290223379365
1.0000000000000002,-9.04860485361354,0.049023865997727685,-8.104382484323851,-2.1925579290492265e-05,-0.0018264388398836593,-0.0001691525955271469
1.0500000000000003,-9.053991738685404,0.05284012831528608,-8.114206731079111,-2.6302042626383973e-05,-0.0019959431064122553,-0.000182311638920488
1.1000000000000003,-9.059835079281868,0.05665860729842605,-8.124436510094984,-3.125149448093068e-05,-0.0021710135354144496,-0.00019552883566000437
1.1500000000000004,-9.066013767851203,0.06046273693424674,-8.135107140434929,-3.6804845534353974e-05,-0.0023516126997314827,-0.00020875399922048137
1.2000000000000004,-9.072387450551659,0.06423622814540136,-8.14625968888423,-4.298898225847014e-05,-0.0025377360892617174,-0.00022192723582154704
1.2500000000000004,-9.078825781207819,0.06796277114610882,-8.157934294388562,-4.982999276558129e-05,-0.002729358771178469,-0.00023498706698113215
1.3000000000000005,-9.085233681350061,0.07162577878931418,-8.170164212306549,-5.73537489566671e-05,-0.0029263888914895456,-0.00024787002374221433
1.3500000000000005,-9.091567603314331,0.0752081806325576,-8.182971700620431,-6.558624691471089e-05,-0.0031286369106531676,-0.0002605099131458898
1.4000000000000006,-9.097839727446015,0.07869041022849668,-8.196366512629329,-7.455386111002316e-05,-0.0033358068238661925,-0.0002728166159399347
1.4500000000000006,-9.104110940866562,0.08205396719127456,-8.210347334300716,-8.42833759675676e-05,-0.0035475075437520556,-0.00028471247616718273
1.5000000000000007,-9.110473462866587,0.08528005432671765,-8.224905283552554,-9.480144614410544e-05,-0.0037632849863589047,-0.000296118887242714
1.5500000000000007,-9.117028247806225,0.08835028876687727,-8.240028941753028,-0.00010613466443368161,-0.003982663416402221,-0.00030696344144327966
1.6000000000000008,-9.123862044533475,0.09124630078983924,-8.2557096936946,-0.00011830793069988438,-0.00420518933014249,-0.0003171695887893935
1.6500000000000008,-9.131028938354554,0.09395085135073697,-8.271946161412538,-0.0001313438468117074,-0.004430467631108664,-0.00032666771126961313
1.7000000000000008,-9.138539699991426,0.09644878811352517,-8.288746891604609,-0.0001452601948209932,-0.0046581832052038025,-0.0003353965383389541
1.7500000000000009,-9.146361223574552,0.098722986911851,-8.306130879139536,-0.0001600717533600146,-0.004888103782886804,-0.00034325733256045446
1.800000000000001,-9.154424069314764,0.10075893946159253,-8.324125543330075,-0.0001758025523976332,-0.005120067115513126,-0.00035021935905191377
1.850000000000001,-9.16263802594414,0.1025418074623696,-8.342763144510283,-0.00019247703907156535,-0.005353952874214178,-0.00035625252335715865
1.900000000000001,-9.170910588990814,0.10405667532008067,-8.362076113542653,-0.00021011922918299283,-0.0055896482031948785,-0.0003613263341915574
1.950000000000001,-9.179164685239165,0.10528898011398799,-8.382092412304162,-0.00022875096969127398,-0.005827013983128167,-0.00036540876181695133
