time,x,y,z,Rx,Ry,Rz
102.19999999999634,-20.85285544501739,-6.490729342044636,-8.153019866469297,-0.0033872493137761766,-0.0020193340146516785,0.07669063065842867
102.24999999999633,-20.873823080192253,-6.514948955617642,-8.125692999781556,-0.0034569676865106595,-0.0017561717169486638,0.07680540586057166
102.29999999999633,-20.8937259587154,-6.539407492327435,-8.099429081730138,-0.003523831613947051,-0.0015016608527443505,0.07692240653360273
102.34999999999633,-20.912555980943615,-6.564079147680092,-8.074253131944223,-0.0035877435508976517,-0.0012560989950316996,0.07704151187752105
102.39999999999633,-20.930307809243786,-6.588935000631945,-8.050188560449213,-0.003648606798052506,-0.001019770451988937,0.07716257554592569
102.44999999999632,-20.946977780709638,-6.6139451812084005,-8.027257435295539,-0.003706325962204012,-0.0007929473234525776,0.07728544672716599
102.49999999999632,-20.96256336577398,-6.639079436131655,-8.005480626482186,-0.003760808417591401,-0.0005758903762697375,0.07740997239879152
102.54999999999632,-20.97706477799253,-6.6643057687404195,-7.9848773081707485,-0.0038119612089920337,-0.0003688459459906385,0.07753599432386732
102.59999999999631,-20.990485055083383,-6.6895907232893554,-7.965464910021156,-0.0038596905612819296,-0.00017204586343292543,0.07766335564190048
102.64999999999631,-21.002830649235904,-6.714898182621177,-7.947258968619316,-0.003903900805085831,1.4294304456680953e-05,0.0777918902688216
102.69999999999631,-21.01411065796917,-6.7401901115113425,-7.9302733840649395,-0.003944495795401897,0.00018997394230107082,0.07792142657052634
102.7499999999963,-21.02433640519086,-6.765424355947848,-7.91452035167692,-0.003981367827630172,0.00035480610801603323,0.07805180334311661
102.7999999999963,-21.033519668007777,-6.79056215451005,-7.900011266253392,-0.004014426132015123,0.0005086161291733488,0.07818285164313958
102.8499999999963,-21.04167209331186,-6.815565859398627,-7.886756312493013,-0.004043573345999985,0.0006512357536143228,0.07831444201403391
102.8999999999963,-21.04880565058815,-6.84039835509019,-7.874765099593402,-0.004068729950838806,0.0007825138087005264,0.07844640973293186
102.9499999999963,-21.054932271824285,-6.865023186485171,-7.864046428493227,-0.004089820129569607,0.0009023088878862597,0.07857859726633813
102.99999999999629,-21.06006459449314,-6.889403159146252,-7.854608079589445,-0.004106777848559711,0.001010493554902657,0.07871081785571109
103.04999999999629,-21.06421641490141,-6.913500889498215,-7.846456624173326,-0.004119540432469842,0.0011069541006893861,0.07884288523184942
103.09999999999629,-21.06740338003771,-6.937277899100067,-7.839597229564999,-0.004128047100225835,0.00119159239489831,0.07897460966629188
103.14999999999628,-21.069643156266835,-6.960694226749526,-7.834033619291882,-0.004132238692769045,0.0012643260720621517,0.07910579510278458
103.19999999999628,-21.070957344372765,-6.983705601534413,-7.8297675657725065,-0.0041320524528699,0.0013250920779719262,0.07923622675234171
103.24999999999628,-21.071371136157843,-7.00626367572596,-7.8267989931262445,-0.004127422461734038,0.0013738461985770456,0.07936567223167934
103.29999999999627,-21.070912492779392,-7.028317437015168,-7.825126163403599,-0.004118282660639258,0.0014105616912506236,0.07949388716072342
103.34999999999627,-21.06961017024023,-7.049815702556209,-7.824746213274302,-0.004104571334060881,0.0014352257878378065,0.07962062644405384
103.39999999999627,-21.067491738326048,-7.070710109627912,-7.825655641775706,-0.004086236743251301,0.0014478362645106038,0.07974565707744466
103.44999999999627,-21.064581641954376,-7.0909582984357655,-7.827851309247382,-0.004063217887817748,0.0014484052340718464,0.07986885852765153
103.49999999999626,-21.0609000212325,-7.110528069417134,-7.8313292521636075,-0.004035496932356077,0.0014369395652830365,0.07999010734160797
103.54999999999626,-21.056463538547945,-7.129392718913394,-7.836085614304492,-0.004003079736277743,0.001413456694200064,0.08010925343861924
103.59999999999626,-21.05128631174111,-7.147532355534548,-7.842116118914712,-0.0039659857503196215,0.0013779853697645488,0.08022618730242606
103.64999999999625,-21.045381813126433,-7.164929680382546,-7.849415520742326,-0.003924249233966434,0.0013305633509191155,0.0803407929839915
103.69999999999625,-21.03876440359862,-7.181568192768766,-7.857977226982102,-0.0038779106043665586,0.0012712436837960476,0.08045295671280109
103.74999999999625,-21.031450556568352,-7.197430025304274,-7.867792994575508,-0.0038270125304335247,0.0012000967948143993,0.08056255754343143
103.79999999999625,-21.02345933788,-7.212494961530359,-7.878852820825722,-0.003771598028890898,0.0011172113051296656,0.08066946318480223
103.84999999999624,-21.014811961591043,-7.226741072947062,-7.891145045696538,-0.003711711490916892,0.0010226931841727693,0.08077353273294031
103.89999999999624,-21.005531743237057,-7.240140167224888,-7.904656955510628,-0.003647369006267727,0.0009166677371499783,0.0808746838132566
103.94999999999624,-20.995641035917124,-7.252672538998122,-7.919374282787066,-0.0035786276916187527,0.0007992699709991771,0.08097278344585858
103.99999999999623,-20.985161270027035,-7.26432223525829,-7.935281873454324,-0.003505552155966655,0.0006706474818149649,0.08106772527122652
104.04999999999623,-20.974112286837773,-7.275078639957947,-7.952363751965155,-0.003428220826196213,0.0005309583998507195,0.08115942531040737
104.09999999999623,-20.96251203562627,-7.284937050795573,-7.97060318275787,-0.0033467266512371406,0.0003803707347539578,0.08124782513619437
104.14999999999623,-20.95037661005631,-7.293898824859895,-7.989982652234545,-0.003261177132472604,0.00021906222586000167,0.08133289287548497
104.19999999999622,-20.93772056443445,-7.301971033538517,-8.0104837625253,-0.0031716937831661133,4.722064561022558e-05,0.08141462070321243
104.24999999999622,-20.92455755258095,-7.3091651305655105,-8.032087078516321,-0.0030784107967681655,-0.00013495605660285076,0.08149301485931391
104.29999999999622,-20.910901046107668,-7.315495634138479,-8.05477197387876,-0.002981471344776276,-0.0003272581210241329,0.08156809335782414
104.34999999999621,-20.896765059707718,-7.3209786169937185,-8.07851647365019,-0.002881024423542064,-0.0005294629103112694,0.08163988014563266
104.39999999999621,-20.88216521907475,-7.325629374927947,-8.10329703660704,-0.0027772203192203537,-0.0007413333650781485,0.08170839505103375
104.44999999999621,-20.867120029332682,-7.3294542665716715,-8.129088828068408,-0.0026701837824336418,-0.000962616173001324,0.08177365536862057
104.4999999999962,-20.8516480314954,-7.332466751329697,-8.155865281016867,-0.0025600653149400877,-0.0011930468632656576,0.08183567595081162
104.5499999999962,-20.835768304647075,-7.3346815670817165,-8.183598460558516,-0.002447015615204997,-0.001432350985460968,0.08189448936584869
104.5999999999962,-20.819500614426588,-7.336112291401664,-8.21225860644161,-0.002331164041465284,-0.0016802429441523956,0.0819502312149236
104.6499999999962,-20.802864142521678,-7.3367769931024736,-8.241815606115072,-0.00221267670609993,-0.0019364253206800176,0.0820029302186815
104.6999999999962,-20.78587772223318,-7.336696756045953,-8.272238305076094,-0.002091725986415853,-0.002200591838260209,0.08205262870646718
104.74999999999619,-20.768559938185398,-7.335895425258169,-8.303494499878255,-0.001968490258040262,-0.002472427534718617,0.0820993814491396
104.79999999999619,-20.750929386919935,-7.334398815063521,-8.33555091209248,-0.001843152163600607,-0.0027516087548693654,0.08214325243739085
104.84999999999619,-20.73300500228779,-7.332233867287623,-8.368373156898521,-0.0017158976427381087,-0.003037802717992978,0.08218430888970073
