time,x,y,z
775.1499999998427,256703.73439318506,652881.4444884185,3572805.8359680474
775.1999999998427,256013.07126719534,651758.6839986644,3568380.0950375614
775.2499999998427,255153.7639445456,650406.0861159407,3562899.4386232547
775.2999999998426,254172.86553645378,648940.5648820461,3557003.551775852
775.3499999998426,253111.46886557565,647463.6843034805,3551248.11437103
775.3999999998425,251978.6945290243,645995.4879888906,3545740.6855351874
775.4499999998425,250749.8175797184,644469.0423173138,3540109.8967697504
775.4999999998424,249375.49006659127,642752.9586975351,3533628.842226224
775.5499999998424,247833.74697192066,640784.4562156087,3525946.868255216
775.5999999998423,246130.0335998452,638570.7711215504,3517098.0062214215
775.6499999998423,244303.01579113273,636205.9149696445,3507593.741781833
775.6999999998422,242373.43051703958,633739.1746002613,3497699.54256225
775.7499999998422,240336.0348337375,631153.029870598,3487309.3039932633
775.7999999998422,238175.67357589945,628402.9840966868,3476167.1972184237
775.8499999998421,235926.52503284148,625572.9393887311,3464729.161011304
775.8999999998421,233564.62602232123,622591.9238660218,3452596.4778454904
775.949999999842,231142.61648600877,619591.0281529538,3440491.045957639
775.999999999842,228684.44510396343,616626.4860656577,3428720.5075146807
776.0499999998419,226180.62582353246,613665.3791683683,3417095.781165175
776.0999999998419,223598.7513306067,610611.9267079113,3405074.888232758
776.1499999998418,220905.52720959793,607365.9409626335,3392087.8778754342
776.1999999998418,218118.7377496884,603966.2921929655,3378339.610834081
776.2499999998417,215213.20091573554,600333.6021787969,3363374.4664277313
776.2999999998417,212231.9464865464,596577.5491981668,3347794.8274367345
776.3499999998417,209209.25487281592,592786.4112719431,3332085.438355964
776.3999999998416,206165.99353913564,589012.6512972646,3316531.701814673
776.4499999998416,203108.91936627828,585269.168382226,3301197.5679927934
776.4999999998415,200039.5161723651,581553.1392846503,3286059.091437995
776.5499999998415,196957.0277021733,577854.36267741,3271051.0211818106
776.5999999998414,193866.61914045224,574179.5275596275,3256203.8063614303
776.6499999998414,190747.0153862285,570456.6213396353,3241100.532411698
776.6999999998413,187601.16683410984,566684.5708258158,3225725.676986305
776.7499999998413,184430.71537803893,562858.9819804434,3210044.1208458073
776.7999999998412,181256.0748713619,559033.7717497133,3194353.2758513624
776.8499999998412,178058.33107820145,555143.462563762,3178269.903955142
776.8999999998412,174853.68800204524,551229.6814747478,3162021.4520893614
776.9499999998411,171652.69895313968,547317.6257859636,3145743.0081829866
776.9999999998411,168472.0358090957,543453.0051492505,3129689.3833417497
777.049999999841,165325.08927075422,539673.0316438049,3114068.8000601325
777.099999999841,162217.70169413651,535991.485134445,3098954.9548552413
777.1499999998409,159144.05480034417,532383.9932087297,3084201.0059655164
777.1999999998409,156094.81640770656,528813.2725940571,3069584.3633014755
777.2499999998408,153064.0001297729,525251.8327464773,3054938.3563039005
777.2999999998408,150052.8207314648,521696.00137406285,3040234.562961318
777.3499999998407,147071.51072765305,518173.8905887938,3025630.400495543
777.3999999998407,144143.71985871712,514763.82415449206,3011579.7913846825
777.4499999998407,141266.27924253675,511450.9864710658,2997991.312033465
777.4999999998406,138426.5847918708,508184.89867673774,2984563.84453936
777.5499999998406,135620.02206656613,504941.61591165734,2971151.355911795
777.5999999998405,132854.15108013497,501741.59494250856,2957869.6639722562
777.6499999998405,130141.33623446175,498625.05983079004,2944952.5359129123
777.6999999998404,127476.28378905104,495566.3956391037,2932245.445086416
777.7499999998404,124887.1594406922,492670.986152162,2920369.1201133803
777.7999999998403,122349.73730554024,489841.33580467483,2908742.6994884126
777.8499999998403,119854.4343041319,487033.3751534686,2897100.2131172745
777.8999999998402,117404.2072622392,484251.7115237617,2885465.320633641
777.9499999998402,115005.16925531006,481513.9929338632,2873940.8254613867
777.9999999998402,112683.26306987954,478923.2264368715,2863141.3538912814
778.0499999998401,110440.73656560808,476485.9329415796,2853106.4410031145
778.0999999998401,108272.43289361692,474176.462800262,2843682.501760717
778.14999999984,106170.97833628743,471957.73949774756,2834646.395773651
778.19999999984,104130.22879956034,469796.1547002388,2825795.0076862457
778.2499999998399,102150.51677454184,467686.0464743254,2817093.1648066896
778.2999999998399,100236.73085950251,465642.9277897897,2808633.828954983
778.3499999998398,98398.8046886115,463707.29164905025,2800661.7321307003
778.3999999998398,96642.77868620121,461903.2500268084,2793323.834902632
778.4499999998397,94928.07297034436,460029.81923627836,2785405.2703639055
778.4999999998397,93345.11960742944,458517.6669881433,2779515.776728626
778.5499999998397,91883.76435383003,457320.08891835704,2775377.7849898315
778.5999999998396,90416.83834587221,455795.82316516456,2769101.7687842227
778.6499999998396,89022.89097575855,454319.9509772002,2762968.7712177215
778.6999999998395,87732.6320461026,453041.716589806,2757889.830979013
778.7499999998395,86543.17769511158,451943.42112378863,2753758.826739
778.7999999998394,85437.03672331075,450930.027662807,2749996.2723576054
778.8499999998394,84397.73299082383,449908.04973424104,2746031.1327219238
778.8999999998393,83422.70229874644,448855.2715597422,2741728.5473771044
778.9499999998393,82524.16140628204,447828.8137080512,2737439.4746721643
778.9999999998392,81719.77335389402,446917.74746050325,2733711.5082679326
779.0499999998392,81022.14378137999,446186.26052279555,2730940.093823418
779.0999999998392,80431.78556227047,445633.41620806686,2729120.9866661667
779.1499999998391,80009.1065041871,445591.90214192914,2730292.9764559953
779.1999999998391,79613.41030124412,445275.5451095757,2729638.3555167904
779.249999999839,79290.6851575363,444932.5038736594,2728680.228679424
779.299999999839,79065.23048074175,444695.1707466287,2728231.9183988282
779.3499999998389,78998.45908967819,444908.19321111735,2730408.5998282027
779.3999999998389,79018.75892944522,445168.14253342,2732732.9705645475
779.4499999998388,79070.40955296857,445159.999008136,2733271.7950219866
779.4999999998388,79203.37333295876,445165.57184473594,2733757.40493927
779.5499999998387,79458.70394700028,445417.4251083928,2735618.629056779
779.5999999998387,79832.83442900176,445896.05205128266,2738732.4905020976
779.6499999998387,80307.64257676639,446500.4027176073,2742474.4526684615
779.6999999998386,80868.65374512359,447150.68337007693,2746351.647322618
779.7499999998386,81512.23941802571,447828.451362922,2750249.6012410237
779.7999999998385,82244.00902337808,448567.000827062,2754372.2001509946
779.8499999998385,83070.79211675804,449406.70444898546,2758965.966305875
779.8999999998384,83993.5703114278,450356.7722369605,2764084.570535552
779.9499999998384,85006.73571456647,451392.2366274229,2769570.91934739
779.9999999998383,86102.97013666834,452480.7460654501,2775222.842143258
780.0499999998383,87279.52964889546,453615.2831606221,2780994.640507504
780.0999999998382,88540.25903836459,454822.983925894,2787050.914018493
780.1499999998382,89895.87595620297,456164.52953771234,2793761.7181258565
780.1999999998382,91347.77212344558,457650.82963398256,2801191.2051848564
780.2499999998381,92878.66195057452,459199.7547231527,2808833.751829868
780.2999999998381,94520.72548132756,460975.2934194763,2817690.4571315153
780.349999999838,96244.7463292024,462838.1565316705,2826903.423297216
780.399999999838,98023.83934494581,464667.5979175913,2835732.0655128527
780.4499999998379,99847.59140049337,466426.47084256663,2843950.6609586175
780.4999999998379,101738.17546616464,468229.9273237642,2852263.903106673
780.5499999998378,103715.54568278963,470176.8196662417,2861274.1960320743
