time,x,y,z,Rx,Ry,Rz
69.19999999999821,-16.165728883217362,-5.462093798529612,-9.281340060883881,-0.0025135158773794387,-0.011472748479554212,0.054166410817669236
69.24999999999821,-16.161462543621234,-5.47487209509173,-9.30494529564092,-0.002474388924454691,-0.011589475004300121,0.05427803360129626
69.2999999999982,-16.15676939504751,-5.488099722514861,-9.328420960959305,-0.0024341538532693966,-0.011703185445208925,0.05439218468653282
69.3499999999982,-16.151654602737437,-5.501768781788899,-9.351737535734834,-0.002392808590888564,-0.011813791157008154,0.054508821228198744
69.3999999999982,-16.146123792590558,-5.51587134735678,-9.374864996348212,-0.0023503549553309695,-0.011921207317852662,0.054627890028488224
69.4499999999982,-16.140182856160386,-5.530402030149326,-9.397772589573107,-0.002306808240061272,-0.012025355822539042,0.054749326111379566
69.4999999999982,-16.133838481271134,-5.545351563580775,-9.420429517044873,-0.0022621700984880914,-0.01212615884304125,0.05487307214232575
69.54999999999819,-16.12709862724504,-5.5607093235776475,-9.442804424630173,-0.002216441684792584,-0.01222354066490167,0.054999063524674374
69.59999999999819,-16.119972575784622,-5.576463366186074,-9.464865465470124,-0.002169623697461758,-0.012317427588720214,0.055127228689413596
69.64999999999819,-16.112473087677174,-5.592598135892359,-9.48657954885827,-0.0021217120312112376,-0.012407743215694609,0.055257478778398726
69.69999999999818,-16.104616720806618,-5.60909393929334,-9.50791228525201,-0.0020726967238570543,-0.012494407677586474,0.05538970541891908
69.74999999999818,-16.096423908037885,-5.625926651621104,-9.528828019218638,-0.0020225613779643195,-0.012577337422893464,0.05552377977231706
69.79999999999818,-16.08791767991503,-5.643068837965066,-9.549290360404376,-0.0019712853558214827,-0.012656447950816257,0.055659557554077484
69.84999999999818,-16.07912115693091,-5.660494765194355,-9.569263098961615,-0.0019188478394686858,-0.012731660922503054,0.05579692676310985
69.89999999999817,-16.07005571137111,-5.67817745016212,-9.588711051465719,-0.0018652336173074293,-0.012802904594809695,0.055935743333793746
69.94999999999817,-16.060739936498628,-5.696092478223654,-9.60760046970576,-0.0018104345165418693,-0.012870117907040596,0.056075873196247995
69.99999999999817,-16.051189823344544,-5.714218098731125,-9.625899021592422,-0.0017544494978929187,-0.01293325015234769,0.056217194858652605
70.04999999999816,-16.041421499297,-5.7325320387328285,-9.643574895418412,-0.0016972796814523198,-0.012992254652782677,0.056359580425642056
70.09999999999816,-16.031452471336507,-5.751010392291625,-9.660596380065398,-0.0016389252925202913,-0.01304708628385243,0.05650289438951381
70.14999999999816,-16.021303178699206,-5.769625878139619,-9.676931351687244,-0.0015793826028421111,-0.013097698014360263,0.05664698553221508
70.19999999999816,-16.01099702548418,-5.788347518776083,-9.692547116519103,-0.0015186313813667636,-0.013144042147866056,0.05679172603258334
70.24999999999815,-16.00055995630941,-5.807139889751085,-9.70741078778971,-0.0014566436501132222,-0.013186070232617876,0.05693698252770391
70.29999999999815,-15.990019254960295,-5.825966349731669,-9.721489986761794,-0.0013933992289705587,-0.013223734469916761,0.05708258183887547
70.34999999999815,-15.979402646665683,-5.844789272775346,-9.734753109058804,-0.001328878147791862,-0.013256990308872051,0.05722834566328746
70.39999999999814,-15.968737317520855,-5.863571240887648,-9.74716975226944,-0.001263063665201199,-0.013285798749991279,0.05737409362585271
70.44999999999814,-15.958049079499006,-5.882276334075898,-9.758711076623843,-0.0011959444365336113,-0.013310127882046455,0.05751964979066244
70.49999999999814,-15.947361855679759,-5.900871056393985,-9.769350049802867,-0.0011275160377536993,-0.01332995375850094,0.05766484744385365
70.54999999999814,-15.936697546109315,-5.919324680232308,-9.779061552936215,-0.0010577816193986448,-0.013345260591043294,0.05780953052145468
70.59999999999813,-15.926076304682105,-5.937608696172687,-9.78782234805198,-0.0009867503073582701,-0.013356040071728189,0.05795355305600715
70.64999999999813,-15.915516643041023,-5.955697081323072,-9.795611083436938,-0.000914438044382019,-0.013362290986552847,0.05809677902286665
70.69999999999813,-15.905036061301125,-5.973565588153812,-9.802408111090426,-0.0008408662566208013,-0.013364017707164791,0.05823907919638853
