time,x,y,z,Rx,Ry,Rz
0.0,0.0,0.0,20.0,0.0,0.0,0.0
0.01,-4.885475468651813e-12,1.950503265069297e-13,20.000044572788866,-1.2825537101503068e-15,-3.9093014808224286e-14,1.2118138396837265e-15
0.02,-1.4330731297703045e-11,3.1461327634668445e-13,20.000130792583107,-2.2445035015699167e-15,-1.1516955829657888e-13,6.318639078148147e-16
0.03,-2.8444908615998326e-11,5.102307197918592e-13,20.000257628410658,-3.754092881348612e-15,-2.28974194501008e-13,1.5876012942230353e-15
0.04,-4.699224795804972e-11,7.771443708193969e-13,20.000424795922463,-5.809788226784817e-15,-3.7893915485435467e-13,6.957566575820521e-16
0.05,-7.000147544606455e-11,1.133972140321457e-12,20.00063227665339,-8.51669515513069e-15,-5.650632917420989e-13,-3.493804040802735e-15
0.060000000000000005,-9.65215684176701e-11,1.4639594042601052e-12,20.000880141051752,-1.1334362842376282e-14,-7.813447005731928e-13,-6.111959329014929e-15
0.07,-1.2567617053954812e-10,1.9032799276671553e-12,20.001168472864357,-1.47257019834658e-14,-1.0215567698464468e-12,-1.1839946421529412e-14
0.08,-1.5659895233285158e-10,2.4137086265144888e-12,20.001497344431485,-1.880763086550783e-14,-1.2800932706595775e-12,-1.6630478999223628e-14
0.09,-1.8977824624735895e-10,2.907052008492085e-12,20.001866808026982,-2.2881099147528507e-14,-1.5601891120667592e-12,-1.6146972831652263e-14
0.09999999999999999,-2.3076368651454063e-10,3.5065663046812873e-12,20.00227689480264,-2.7683664787907887e-14,-1.8988625661115914e-12,-1.2257088773180632e-15
0.10999999999999999,-2.963701755981615e-10,4.127718790676458e-12,20.002727615953035,-3.2791084861699334e-14,-2.408878828907628e-12,4.343267287365215e-14
0.11999999999999998,-4.282956679408574e-10,4.904685015452417e-12,20.003218964237284,-3.9009241580969974e-14,-3.369430356187837e-12,1.2263744123221298e-13
0.12999999999999998,-7.129370327095592e-10,5.670540622841409e-12,20.003750915196683,-4.527652021786255e-14,-5.359398445051244e-12,2.3495721416042826e-13
0.13999999999999999,-1.312323658058357e-09,6.571547355119254e-12,20.00432342798789,-5.244320804693748e-14,-9.464708089977066e-12,3.731707451023724e-13
0.15,-2.50656317511579e-09,7.520380859841223e-12,20.00493644594053,-5.990671694034331e-14,-1.7563961148768802e-11,5.327082426115686e-13
0.16,-4.748192547376054e-09,8.42499022254004e-12,20.00558989710357,-6.729948750967045e-14,-3.2693503333924346e-11,6.980748354308938e-13
